2020-03-16,1267,DL,ATL,LAX,,S2,-1,18,1947,2,4,2
2022-11-23,1557,DL,LAX,ATL,,S2,25,26,1947,2,2,4
2021-01-26,256,AA,DFW,ATL,,S1,4,-3,731,1,1,4
2020-10-24,2460,AA,LAX,DFW,,S1,-5,0,1235,1,2,1
2020-08-24,2344,AA,LAX,DFW,,S1,-9,-10,1235,1,2,1
2022-12-31,424,DL,JFK,ATL,,S1,-1,-11,760,2,5,4
2020-12-13,1979,AA,DFW,ORD,,S1,-5,-10,801,1,1,3
2019-01-30,1085,AA,DFW,LAX,,S1,0,-11,1235,1,1,2
2019-07-09,333,AA,ATL,DFW,,S1,-1,-5,731,1,4,1
2021-05-07,328,AA,ORD,DFW,,S1,5,-8,801,1,3,1
2022-06-24,255,AA,JFK,LAX,,S1,-6,-28,2475,1,5,2
2020-12-24,1128,DL,DFW,ATL,,S1,-5,-14,731,2,1,4
2019-07-20,1162,DL,LAX,JFK,,S1,-1,-12,2475,2,2,5
2019-11-17,2039,UA,LAX,ORD,,S3,78,75,1744,3,2,3
2019-07-23,118,AA,LAX,JFK,,S1,-2,-18,2475,1,2,5
2020-07-07,1050,DL,LAX,JFK,,S1,-7,-26,2475,2,2,5
2019-08-21,2269,DL,DFW,ATL,,S1,0,-14,731,2,1,4
2022-12-12,2072,AA,DFW,ATL,,S1,10,5,731,1,1,4
2023-04-06,650,DL,JFK,LAX,,S2,6,16,2475,2,5,2
2019-11-19,424,DL,ATL,DFW,,S1,-5,-10,731,2,4,1
2021-02-21,365,DL,ATL,LAX,,S1,-2,-7,1947,2,4,2
2022-09-09,553,DL,LAX,JFK,,S2,31,36,2475,2,2,5
2019-05-29,1258,AA,DFW,ORD,,S2,4,22,801,1,1,3
2020-07-13,1024,AA,ORD,LAX,,S1,-6,-25,1744,1,3,2
2019-02-21,1657,DL,JFK,LAX,,S2,-4,44,2475,2,5,2
2020-10-07,1244,DL,DFW,ATL,,S1,-6,-6,731,2,1,4
2023-08-03,815,DL,ATL,DFW,,S1,-5,-9,731,2,4,1
2021-12-01,2647,AA,ORD,DFW,,S2,59,37,801,1,3,1
2019-12-01,2786,AA,ORD,LAX,,S2,45,35,1744,1,3,2
2021-05-11,969,AA,DFW,LAX,,S3,154,131,1235,1,1,2
2021-06-08,843,DL,ORD,ATL,,S1,-5,-16,606,2,3,4
2022-10-24,1114,DL,DFW,ATL,,S1,3,-14,731,2,1,4
2020-07-24,2279,AA,LAX,DFW,,S1,-1,12,1235,1,2,1
2019-06-17,1071,AA,LAX,ATL,,S1,-3,-30,1947,1,2,4
2019-09-06,1217,AA,ORD,DFW,,S2,61,38,801,1,3,1
2021-02-26,1925,UA,ORD,LAX,,S1,-3,-1,1744,3,3,2
2023-07-28,1164,AA,LAX,DFW,,S1,2,-1,1235,1,2,1
2023-03-15,1719,UA,ORD,LAX,,S1,-5,7,1744,3,3,2
2019-09-08,115,AA,ORD,ATL,,S1,2,0,606,1,3,4
2019-07-07,2328,AA,ATL,LAX,,S1,-1,-35,1947,1,4,2
2019-04-14,2424,AA,DFW,LAX,,S1,13,-4,1235,1,1,2
2020-09-02,1378,DL,ATL,DFW,,S1,5,4,731,2,4,1
2020-07-11,2883,AA,LAX,ORD,,S1,-10,-19,1744,1,2,3
2021-11-06,449,DL,ATL,LAX,,S1,6,-12,1947,2,4,2
2021-04-02,3,AA,JFK,LAX,,S1,-3,-39,2475,1,5,2
2019-04-19,1557,DL,JFK,LAX,,S1,-4,-10,2475,2,5,2
2021-12-12,990,AA,ATL,LAX,,S1,-11,-31,1947,1,4,2
2021-04-27,1238,DL,DFW,ATL,,S1,-5,-5,731,2,1,4
2019-08-26,1300,AA,ORD,ATL,,S2,-3,33,606,1,3,4
2019-12-01,330,AA,LAX,DFW,,S1,-3,3,1235,1,2,1
2019-05-20,333,AA,DFW,ATL,,S2,39,36,731,1,1,4
2023-03-14,1008,AA,DFW,ATL,,S2,20,32,731,1,1,4
2021-11-11,1047,AA,ORD,DFW,,S1,-7,-19,801,1,3,1
2021-01-05,313,DL,JFK,LAX,,S1,0,-29,2475,2,5,2
2019-01-14,2737,AA,DFW,ATL,,S1,0,6,731,1,1,4
2022-01-17,439,DL,JFK,LAX,,S1,-1,-21,2475,2,5,2
2021-04-13,2325,AA,DFW,LAX,,S1,1,-5,1235,1,1,2
2021-09-13,2103,DL,DFW,JFK,,S1,-4,-25,1391,2,1,5
2021-01-20,1937,UA,DFW,ORD,,S1,-8,3,801,3,1,3
2021-10-31,1,AA,JFK,LAX,,S1,-2,-24,2475,1,5,2
2020-10-09,1229,DL,ATL,DFW,,S1,0,12,731,2,4,1
2022-01-29,1656,DL,DFW,ATL,,S3,293,278,731,2,1,4
2023-04-30,836,AA,DFW,LAX,,S1,-3,0,1235,1,1,2
2022-11-23,1617,UA,LAX,ORD,,S1,-2,-17,1744,3,2,3
2019-03-05,1776,DL,ORD,ATL,,S1,-3,-14,606,2,3,4
2019-01-13,2520,AA,DFW,ORD,,S1,4,9,802,1,1,3
2023-04-24,1343,UA,ORD,DFW,,S1,3,-3,802,3,3,1
2021-06-17,2223,AA,DFW,ORD,,S1,7,-20,801,1,1,3
2022-08-13,117,AA,JFK,LAX,,S1,-4,-24,2475,1,5,2
2021-01-16,1925,UA,ORD,LAX,,S1,-9,-37,1744,3,3,2
2019-04-06,2675,DL,JFK,ATL,,S1,-5,-10,760,2,5,4
2023-06-19,2230,UA,ORD,DFW,,S1,43,10,802,3,3,1
2019-06-30,1651,DL,DFW,LAX,,S1,0,-6,1235,2,1,2
2019-11-29,975,DL,JFK,LAX,,S1,-2,2,2475,2,5,2
2022-05-14,1325,DL,DFW,LAX,,S1,20,8,1235,2,1,2
2022-01-29,1312,AA,LAX,DFW,,S1,-10,-27,1235,1,2,1
2021-09-28,515,UA,JFK,LAX,,S1,-10,-14,2475,3,5,2
2019-12-03,1897,UA,LAX,ORD,,S2,26,17,1744,3,2,3
2023-05-25,921,DL,ATL,DFW,,S2,53,38,731,2,4,1
2019-05-18,1085,DL,JFK,LAX,,S1,-5,-16,2475,2,5,2
2022-01-09,2153,UA,ORD,LAX,,S1,15,-19,1744,3,3,2
2020-09-02,795,UA,ORD,LAX,,S1,-4,3,1744,3,3,2
2019-06-24,1267,DL,ATL,LAX,,S1,-2,-11,1947,2,4,2
2022-11-23,2166,UA,LAX,ORD,,S1,-1,-8,1744,3,2,3
2021-09-01,424,DL,JFK,ATL,,S1,0,-14,760,2,5,4
2022-10-10,1659,UA,ATL,ORD,,S1,-4,-10,606,3,4,3
2019-07-08,306,AA,JFK,LAX,,S1,0,-31,2475,1,5,2
2022-11-04,463,DL,ATL,ORD,,S1,20,6,606,2,4,3
2023-04-08,815,DL,ATL,DFW,,S1,2,-6,731,2,4,1
2022-08-06,515,DL,ATL,LAX,,S1,5,-24,1947,2,4,2
2023-04-19,568,DL,LAX,DFW,,S1,1,-5,1235,2,2,1
2019-04-30,1516,DL,ORD,ATL,,S1,-7,-8,606,2,3,4
2019-08-29,660,UA,LAX,ORD,,S1,-3,-5,1744,3,2,3
2020-02-04,2328,AA,ATL,LAX,,S1,-8,-36,1947,1,4,2
2022-06-14,1106,AA,DFW,ORD,,S1,-3,-19,801,1,1,3
2022-07-12,1567,AA,ATL,DFW,,S1,3,-5,731,1,4,1
2021-03-29,604,AA,DFW,LAX,,S1,-5,-25,1235,1,1,2
2019-05-14,2429,AA,ORD,DFW,,S2,44,22,801,1,3,1
2020-06-12,2098,DL,ATL,ORD,,S1,-3,-14,606,2,4,3
2022-08-08,739,DL,ATL,ORD,,S1,-3,11,606,2,4,3
2023-05-12,608,DL,ATL,DFW,,S2,42,26,731,2,4,1
2020-03-17,2890,DL,ORD,ATL,,S1,-8,-26,606,2,3,4
2021-09-24,1051,AA,ATL,DFW,,S1,3,-11,731,1,4,1
2021-09-13,2290,UA,ORD,ATL,,S1,-3,-14,606,3,3,4
2022-06-03,1647,DL,DFW,ATL,,S2,50,45,731,2,1,4
2019-08-05,2072,AA,DFW,ATL,,S1,-4,-14,731,1,1,4
2022-06-13,1841,UA,ORD,DFW,,S1,20,2,801,3,3,1
2022-03-25,2211,UA,ORD,DFW,,S1,-3,-25,801,3,3,1
2021-10-18,991,AA,DFW,LAX,,S1,-5,-27,1235,1,1,2
2020-03-24,1162,DL,LAX,JFK,,S1,-7,-43,2475,2,2,5
2020-03-30,2194,UA,ORD,LAX,,S1,-14,-26,1744,3,3,2
2021-02-12,1423,DL,ORD,ATL,,S1,-3,-15,606,2,3,4
2022-12-07,1046,UA,ATL,ORD,,S1,-3,-16,606,3,4,3
2023-04-03,10,AA,LAX,JFK,,S1,-4,-29,2475,1,2,5
2023-03-28,980,AA,ATL,DFW,,S3,86,82,731,1,4,1
2023-08-20,395,DL,LAX,ATL,,S1,3,2,1947,2,2,4
2022-10-15,184,AA,LAX,JFK,,S2,50,25,2475,1,2,5
2019-12-02,2300,AA,ORD,DFW,,S2,28,17,801,1,3,1
2019-12-13,661,UA,LAX,ORD,,S1,-6,-17,1744,3,2,3
2019-11-08,2738,AA,ORD,DFW,,S1,-5,-27,801,1,3,1
2022-10-22,2976,DL,ATL,ORD,,S1,1,-3,606,2,4,3
2020-08-20,2749,AA,DFW,ATL,,S1,12,3,731,1,1,4
2020-05-29,1267,DL,ATL,LAX,,S1,-1,-26,1947,2,4,2
2021-12-16,1245,AA,JFK,ORD,,S1,12,-4,740,1,5,3
2019-10-07,566,UA,ORD,LAX,,S1,-6,-7,1744,3,3,2
2023-01-12,1862,AA,LAX,ORD,,S1,15,15,1744,1,2,3
2022-01-23,319,AA,ORD,LAX,,S1,11,-33,1744,1,3,2
2022-02-07,515,UA,JFK,LAX,,S1,-7,-31,2475,3,5,2
2023-02-04,2431,AA,ORD,LAX,,S1,-2,-8,1744,1,3,2
2022-03-03,118,AA,LAX,JFK,,S1,-1,-23,2475,1,2,5
2019-12-13,369,UA,ORD,LAX,,S1,-4,-16,1744,3,3,2
2021-12-22,1781,AA,DFW,LAX,,S1,-9,-12,1235,1,1,2
2023-07-14,1551,AA,DFW,ORD,,S2,17,51,802,1,1,3
2019-05-30,1171,DL,DFW,ATL,,S1,-3,0,731,2,1,4
2022-06-06,1963,UA,ORD,LAX,,S2,40,59,1744,3,3,2
2020-11-02,397,DL,ATL,JFK,,S1,5,-1,760,2,4,5
2019-07-26,1110,DL,LAX,ATL,,S1,10,9,1947,2,2,4
2020-10-18,460,UA,ATL,ORD,,S1,-9,-15,606,3,4,3
2021-06-05,661,AA,ORD,DFW,,S1,4,-12,801,1,3,1
2022-06-26,1725,DL,ORD,ATL,,S1,-4,-19,606,2,3,4
2019-02-10,2658,DL,LAX,DFW,,S1,-2,-23,1235,2,2,1
2022-03-15,563,DL,JFK,LAX,,S1,0,-20,2475,2,5,2
2020-08-05,873,DL,ATL,LAX,,S1,-2,0,1947,2,4,2
2022-03-01,528,AA,LAX,ORD,,S1,2,13,1744,1,2,3
2022-11-30,2989,AA,DFW,ORD,,S1,-9,-27,802,1,1,3
